iso3,YouthPop_15_24_total,NetPrimEnroll_pct,OutOfSchoolPrimary_num,UrbanSlum_pct,Activities_250,Activities_11230
SLV,1411616.0,,95977.0,16.47714,,
SMR,,,104.0,,,
SOM,2094687.0,,,48.68591,,
SRB,,,,1.41509,,
SSD,,,,94.2,,
STP,38279.0,,,82.39333,,
SUR,79042.0,,31544.0,15.80035,,
SVK,646952.0,,,0.06602,,
SVN,196812.0,,,0.52712,,
SWE,1134811.0,,,0.3362,,
SWZ,288896.0,,,17.00571,,
SXM,,,,2.88821,,
SYC,,,280.0,48.68591,,
SYR,4400418.0,,643032.0,41.12579,,
TCA,,,,0.6313,,
TCD,2684724.0,,768751.0,82.0,,
TGO,1647427.0,,10682.0,38.46053,,
THA,9149718.0,,71222.6195789147,,,
TJK,1666584.0,,,,,
TKM,1034603.0,,,8.38201,,
TLS,296497.0,,,33.92051,,
TON,22956.0,,80.5573248407654,0.30753,,
TTO,193857.0,,47132.0,8.62727,,
TUN,1800366.0,,25079.0,7.64301,,
TUR,13930222.0,,,14.12611,,
TUV,,,14.0,50.89943,,
TZA,9849521.0,,2011644.0,70.08585,,
UGA,8244246.0,,,52.68098,,
UKR,4842803.0,,,,,
URY,519298.0,,,1.3,,
USA,45147517.0,,,0.09318,,
UZB,5897703.0,,130836.0,7.1,,
VCT,20142.0,,154.044753853805,2.75506,,
VEN,5479911.0,,17885.0,25.7,,
VGB,,,,0.13562,,
VIR,,,,1.09573,,
VNM,16939813.0,,,32.5,,
VUT,55081.0,,4449.0,3.064,,
WSM,43855.0,,1020.0,34.58533,,
YEM,5995687.0,,,44.2,,
ZAF,9998431.0,,,24.2,,
ZMB,3068044.0,,,48.25813,,
ZWE,3333716.0,,,54.88268,,
